Michel Platini,soccer,France,midfielder,UEFA
Alfredo Di Stefano,soccer,Argentina,Real Madrid,forward
Eusebio,soccer,Portugal,Benfica,Black Panther
Roberto Baggio,soccer,Italy,forward,Divine Ponytail
Luis Figo,soccer,Portugal,Real Madrid,Barcelona
Andres Iniesta,soccer,Spain,Barcelona,midfielder
Paolo Maldini,soccer,Italy,AC Milan,defender
Francesco Totti,soccer,Italy,AS Roma,forward
Steven Gerrard,soccer,England,Liverpool,midfielder
Thierry Henry,soccer,France,Arsenal,forward
Ruud Gullit,soccer,Netherlands,AC Milan,forward
Marco van Basten,soccer,Netherlands,AC Milan,forward
Roberto Carlos,soccer,Brazil,Real Madrid,defender
George Weah,soccer,Liberia,AC Milan,forward
Clarence Seedorf,soccer,Netherlands,AC Milan,midfielder
Ryan Giggs,soccer,Wales,Manchester United,winger
Fernando Torres,soccer,Spain,Liverpool,Chelsea
Xavi Hernandez,soccer,Spain,Barcelona,midfielder
Carlos Valderrama,soccer,Colombia,midfielder,hairstyle
Didier Drogba,soccer,Ivory Coast,Chelsea,forward
Ronaldinho,soccer,Brazil,Barcelona,smiling
Mount Everest,mountain,highest,Himalayas,Nepal
Amazon River,river,South America,Brazil,largest
Sahara Desert,desert,Africa,largest,dry
Nile River,river,Egypt,longest,Africa
Grand Canyon,canyon,Arizona,USA,natural wonder
Great Wall of China,wall,China,ancient,landmark
Mount Kilimanjaro,mountain,Africa,Tanzania,highest
Great Barrier Reef,coral,reef,Australia,marine
Himalayas,mountains,Asia,highest,range
Amazon Rainforest,forest,Brazil,South America,jungle
Rocky Mountains,mountains,North America,USA,Canada
Andes Mountains,mountains,South America,longest,range
Gobi Desert,desert,Asia,Mongolia,China
Sahara Desert,desert,Africa,largest,hot
Mediterranean Sea,sea,Europe,Africa,Asia
Arctic Ocean,ocean,North Pole,cold,ice
Antarctica,continent,ice,south pole,desert
Suez Canal,canal,Egypt,trade,waterway
Panama Canal,canal,Panama,Atlantic,Pacific
Mount Fuji,mountain,Japan,volcano,highest
Alps,mountains,Europe,Switzerland,France
Great Lakes,lakes,North America,USA,Canada
Lake Victoria,lake,Africa,Tanzania,Uganda
Niagara Falls,waterfall,USA,Canada,Ontario
Angel Falls,waterfall,Venezuela,tallest,water
Ganges River,river,India,sacred,Ganga
Yangtze River,river,China,longest,Asia
Mississippi River,river,USA,Missouri,Mississippi
Eiffel Tower,Paris,France,landmark,iron
Statue of Liberty,New York,USA,statue,freedom
Sydney Opera House,Sydney,Australia,architecture,landmark
Taj Mahal,India,Agra,mausoleum,marble
Machu Picchu,Peru,Inca,ruins,ancient
Colosseum,Rome,Italy,ancient,amphitheater
Stonehenge,England,ancient,monument,stones
Mount Rushmore,USA,South Dakota,presidents,sculpture
Great Pyramid of Giza,Egypt,ancient,pharaoh,Cheops
Victoria Falls,waterfall,Zambia,Zimbabwe,Africa
Dead Sea,salt,sea,lowest,Jordan
Lake Baikal,lake,Russia,deepest,Siberia
K2,mountain,Pakistan,second highest,Karakoram
Patagonia,region,Argentina,Chile,South America
Galapagos Islands,islands,Ecuador,Pacific,evolution
Serengeti,plain,Tanzania,wildlife,safari
Mount Vesuvius,volcano,Italy,Naples,eruption
Matterhorn,mountain,Alps,Switzerland,Italy
Yellowstone National Park,USA,Wyoming,geysers,wildlife
Siberia,region,Russia,Asia,cold
Cape of Good Hope,cape,South Africa,ocean,Atlantic
Bering Strait,strait,Asia,North America,water
Caspian Sea,sea,Asia,Europe,largest lake
Red Sea,sea,Egypt,Saudi Arabia,Jordan
Persian Gulf,gulf,Middle East,oil,water
Lake Superior,lake,Great Lakes,USA,Canada
Iceland,island,geysers,volcanoes,Arctic
Madagascar,island,Africa,Indian Ocean,unique
Greenland,island,Denmark,ice,largest
Svalbard,archipelago,Norway,Arctic,polar bears
Congo River,river,Africa,second longest,basin
Volga River,river,Russia,longest,Europe
Mekong River,river,Southeast Asia,Vietnam,Cambodia
Atacama Desert,desert,Chile,driest,South America
Caribbean Sea,sea,Caribbean,West Indies,tropical
Philippine Sea,sea,Pacific Ocean,Philippines,Asia
Hudson Bay,bay,Canada,Arctic,large
Tigris River,river,Iraq,Middle East,Mesopotamia
Euphrates River,river,Iraq,Syria,Mesopotamia
Lake Titicaca,lake,Peru,Bolivia,highest
Gobi Desert,desert,Asia,Mongolia,China
Yellow River,river,China,Huang He,Asia
Danube River,river,Europe,Germany,Black Sea
Rhine River,river,Europe,Germany,Netherlands
Great Plains,plains,USA,grassland,central
Sierra Nevada,mountains,USA,California,Nevada
Hawaii,islands,USA,Pacific,tropical
Fiji,islands,Pacific,tropical,ocean
Mount Everest,mountain,Himalayas,highest,Nepal
Mount Elbrus,mountain,Europe,Russia,Caucasus
Atlas Mountains,mountains,Africa,Morocco,Algeria
Appalachian Mountains,mountains,USA,East Coast,range
Pyrenees,mountains,France,Spain,Europe
New Zealand,island,Pacific,Kiwi,Aotearoa
Tasmania,island,Australia,Devil,Hobart
Kalahari Desert,desert,Africa,Botswana,Namibia
Yosemite National Park,USA,California,granite,waterfalls
Sahara Desert,desert,Africa,sand,largest
Blue Nile,river,Africa,Ethiopia,Sudan
Mount McKinley,mountain,Denali,Alaska,highest North America
Nile Delta,delta,Egypt,river,Mediterranean
Lake Michigan,lake,Great Lakes,USA,Chicago
Mojave Desert,desert,USA,California,Nevada
Mount St. Helens,volcano,USA,Washington,eruption
Gulf of Mexico,gulf,USA,Mexico,water
Lake Tanganyika,lake,Africa,second deepest,Congo
Patagonia,region,Argentina,Chile,Andes
Ural Mountains,mountains,Russia,Asia,Europe
Alexander the Great,Greece,Macedonia,conqueror,empire
Genghis Khan,Mongolia,empire,conqueror,Asia
Cleopatra,Egypt,queen,Mark Antony,ancient
Julius Caesar,Rome,emperor,assassination,Gaul
Hannibal,Carthage,elephants,Rome,Punic Wars
Charlemagne,Frankish Empire,Europe,emperor,medieval
Joan of Arc,France,saint,warrior,Hundred Years' War
Napoleon Bonaparte,France,emperor,Waterloo,conqueror
Vlad the Impaler,Dracula,Transylvania,Romania,prince
Ivan the Terrible,Russia,tsar,autocrat,16th century
Catherine the Great,Russia,empress,expansion,Enlightenment
Peter the Great,Russia,tsar,modernization,St. Petersburg
Leonardo da Vinci,Renaissance,artist,inventor,Italy
Michelangelo,Renaissance,artist,Sistine Chapel,David
Galileo Galilei,Italy,astronomy,telescope,heliocentrism
Nicolaus Copernicus,Poland,astronomy,heliocentric,universe
Isaac Newton,England,scientist,gravity,principia
William Shakespeare,England,playwright,dramatist,Elizabethan
Queen Elizabeth I,England,monarch,Golden Age,Tudor
Queen Victoria,England,monarch,Victorian era,British Empire
The Roman Empire,Rome,ancient,empire,Italy
The Byzantine Empire,Constantinople,Byzantium,Orthodox,empire
The Ottoman Empire,Turkey,Constantinople,sultan,Islam
The Persian Empire,Iran,ancient,Cyrus the Great,Darius
The Mughal Empire,India,Islam,Akbar,architecture
The Maurya Empire,India,Chandragupta,Ashoka,Buddhism
The Gupta Empire,India,Golden Age,science,art
The British Raj,India,colonial,empire,British
The Qing Dynasty,China,dynasty,Manchu,imperial
The Ming Dynasty,China,Great Wall,Forbidden City,dynasty
The Silk Road,trade,China,Asia,Europe
The Crusades,Europe,Middle Ages,Jerusalem,holy wars
The Black Death,plague,Europe,Middle Ages,epidemic
The Renaissance,Europe,art,reawakening,Italy
The Reformation,Europe,Martin Luther,Protestant,church
The French Revolution,France,Bastille,Robespierre,Liberty
The Russian Revolution,Russia,Bolshevik,Lenin,1917
The Industrial Revolution,Europe,steam engine,factory,technology
The Great Depression,global,economy,1929,unemployment
The World Wars,global,conflict,WWI,WWII
The Cold War,USA,USSR,nuclear,ideology
The Berlin Wall,Germany,division,Cold War,East and West
Mahatma Gandhi,India,non-violence,independence,Mahatma
Jawaharlal Nehru,India,prime minister,independence,congress
Indira Gandhi,India,prime minister,emergency,dynasty
Buddha,India,Buddhism,enlightenment,Siddhartha Gautama
Confucius,China,philosopher,ethics,Analects
Laozi,China,philosopher,Taoism,Daodejing
Sun Tzu,China,philosopher,The Art of War,strategist
Kublai Khan,Mongolia,China,Yuan Dynasty,emperor
Marco Polo,Venice,explorer,China,Silk Road
Ferdinand Magellan,Portugal,explorer,circumnavigation,strait
Christopher Columbus,Spain,explorer,New World,1492
Vasco da Gama,Portugal,explorer,India,cape of good hope
James Cook,England,explorer,Australia,Pacific
Hernán Cortés,Spain,conquistador,Aztec,conquest
Francisco Pizarro,Spain,conquistador,Inca,Peru
